epoch,loss
0.0,3.5817275047302246
0.1,3.3836110700475106
0.2,3.275051165576005
0.3,3.218280425499444
0.4,3.176478362142891
0.5,3.1449532884799556
0.6,3.120376045414295
0.7,3.0983065477281424
0.8,3.0823773793066933
0.9,3.0663781139615107
1.0,2.800985336303711
1.1,2.9291107135243935
1.2,2.916333370540866
1.3,2.913426624184035
1.4,2.907386811891399
1.5,2.9022271942473696
1.6,2.8989739925809785
1.7,2.8943266834580097
1.8,2.8916014261757685
1.9,2.887452524324898
2.0,2.750497341156006
2.1,2.8572062454601324
2.2,2.846821943918864
2.3,2.8458681328352107
2.4,2.8415361562571917
2.5,2.837895519005324
2.6,2.836172238364196
2.7,2.8333516739914657
2.8,2.831641889243537
2.9,2.828847001580631
3.0,2.7232139110565186
3.1,2.8124252970856016
3.2,2.802602563924457
3.3,2.8021834554070253
3.4,2.798431608742312
3.5,2.7953959434570192
3.6,2.794175574466115
3.7,2.7921087275898238
3.8,2.790685436698828
3.9,2.7884407982842108
4.0,2.7044506072998047
4.1,2.778366754550745
4.2,2.7687991946490844
4.3,2.768462386242179
4.4,2.7650082129195446
4.5,2.7623436960155616
4.6,2.761378629037029
4.7,2.759716104678863
4.8,2.7583814616804565
4.9,2.756418963780546
5.0,2.6894421577453613
5.1,2.7501474795955243
5.2,2.74080786894803
5.3,2.7403096637852564
5.4,2.737039368646103
5.5,2.734621631885003
5.6,2.7338432761873066
5.7,2.732420997510793
5.8,2.731110220098317
5.9,2.729306709223926
6.0,2.6762588024139404
6.1,2.725605839549905
6.2,2.716432518033839
6.3,2.7156705943452955
6.4,2.712558509702992
6.5,2.7103111943798863
6.6,2.709676831018508
6.7,2.7084111738817156
6.8,2.70709517713492
6.9,2.7053996296754557
7.0,2.664796829223633
7.1,2.7035080347910965
7.2,2.6945080211506554
7.3,2.6934587456459225
7.4,2.690497946560829
7.5,2.688377520757283
7.6,2.6878814566353593
7.7,2.6867212228870256
7.8,2.6853892621624933
7.9,2.6837911134819343
8.0,2.6543216705322266
8.1,2.6832324160207617
8.2,2.6744080348987485
8.3,2.6730678453793955
8.4,2.670248843190676
8.5,2.668223391511959
8.6,2.6678510894394556
8.7,2.6667655306773925
8.8,2.665409855479456
8.9,2.6639096900969577
9.0,2.644292116165161
9.1,2.6644313359024503
9.2,2.6557603902484646
9.3,2.654141917973262
9.4,2.651445150969926
9.5,2.6494850907735006
9.6,2.649233376523619
9.7,2.648200340515877
9.8,2.646814543953847
9.9,2.6454183293235687
