"train/epoch","_step","train/loss","train/learning_rate"
"0.4672897196261682","0","1.0741","0.00004844236760124611"
"0.9345794392523364","1","0.6861","0.000046884735202492216"
"1.4018691588785046","3","0.4743","0.00004532710280373832"
"1.8691588785046729","4","0.4128","0.00004376947040498442"
"2.336448598130841","6","0.2864","0.00004221183800623053"
"2.803738317757009","7","0.2199","0.000040654205607476636"
"3.2710280373831777","9","0.1516","0.00003909657320872274"
"3.7383177570093458","10","0.0948","0.00003753894080996885"
"4.205607476635514","12","0.0675","0.000035981308411214956"
"4.672897196261682","13","0.0304","0.00003442367601246106"
"5.140186915887851","15","0.0255","0.00003286604361370716"
"5.607476635514018","16","0.0107","0.00003130841121495327"
"6.074766355140187","18","0.0083","0.000029750778816199376"
"6.542056074766355","19","0.0042","0.000028193146417445482"
"7.009345794392523","21","0.0026","0.00002663551401869159"
"7.4766355140186915","22","0.002","0.000025077881619937692"
"7.94392523364486","23","0.0016","0.000023520249221183802"
"8.411214953271028","25","0.0014","0.00002196261682242991"
"8.878504672897197","26","0.0015","0.000020404984423676012"
"9.345794392523365","28","0.001","0.00001884735202492212"
"9.813084112149532","29","0.0009","0.000017289719626168225"
"10.280373831775702","31","0.0009","0.00001573208722741433"
"10.74766355140187","32","0.0008","0.000014174454828660435"
"11.214953271028037","34","0.0007","0.000012616822429906542"
"11.682242990654206","35","0.0007","0.000011059190031152649"
"12.149532710280374","37","0.0006","0.000009501557632398754"
"12.616822429906541","38","0.0006","0.00000794392523364486"
"13.08411214953271","40","0.0006","0.000006386292834890965"
"13.551401869158878","41","0.0005","0.000004828660436137072"
"14.018691588785046","43","0.0006","0.0000032710280373831774"
"14.485981308411215","44","0.0005","0.0000017133956386292835"
"14.953271028037383","45","0.0005","1.5576323987538942e-7"
