"train/epoch","_step","train/loss","train/learning_rate"
"0.4672897196261682","0","1.8042","0.0029065420560747666"
"0.9345794392523364","1","1.7492","0.0028130841121495327"
"1.4018691588785046","3","1.7228","0.0027196261682242992"
"1.8691588785046729","4","1.7099","0.0026261682242990653"
"2.336448598130841","6","1.6668","0.002532710280373832"
"2.803738317757009","7","1.6785","0.002439252336448598"
"3.2710280373831777","9","1.6796","0.0023457943925233645"
"3.7383177570093458","10","1.6462","0.0022523364485981306"
"4.205607476635514","12","1.633","0.002158878504672897"
"4.672897196261682","13","1.6053","0.0020654205607476637"
"5.140186915887851","15","1.6009","0.00197196261682243"
"5.607476635514018","16","1.6272","0.001878504672897196"
"6.074766355140187","18","1.5783","0.0017850467289719624"
"6.542056074766355","19","1.5301","0.001691588785046729"
"7.009345794392523","21","1.5121","0.0015981308411214953"
"7.4766355140186915","22","1.4962","0.0015046728971962616"
"7.94392523364486","23","1.458","0.0014112149532710281"
"8.411214953271028","25","1.4368","0.0013177570093457945"
"8.878504672897197","26","1.4271","0.0012242990654205608"
"9.345794392523365","28","1.3998","0.001130841121495327"
"9.813084112149532","29","1.3892","0.0010373831775700934"
"10.280373831775702","31","1.3657","0.0009439252336448597"
"10.74766355140187","32","1.3488","0.0008504672897196262"
"11.214953271028037","34","1.3295","0.0007570093457943925"
"11.682242990654206","35","1.3203","0.0006635514018691589"
"12.149532710280374","37","1.2948","0.0005700934579439252"
"12.616822429906541","38","1.2794","0.0004766355140186916"
"13.08411214953271","40","1.2696","0.0003831775700934579"
"13.551401869158878","41","1.2352","0.0002897196261682243"
"14.018691588785046","43","1.244","0.00019626168224299063"
"14.485981308411215","44","1.2034","0.000102803738317757"
"14.953271028037383","45","1.2053","0.000009345794392523365"
"15.42056074766355","51","1.3023","0.0014579439252336449"
"15.88785046728972","52","1.3247","0.0014112149532710281"
"16.35514018691589","54","1.2971","0.0013644859813084112"
"16.822429906542055","55","1.2823","0.0013177570093457945"
"17.289719626168225","57","1.2537","0.0012710280373831775"
"17.757009345794394","58","1.2533","0.0012242990654205608"
"18.22429906542056","60","1.2234","0.0011775700934579438"
"18.69158878504673","61","1.2233","0.001130841121495327"
"19.1588785046729","63","1.2005","0.0010841121495327104"
"19.626168224299064","64","1.1888","0.0010373831775700934"
"20.093457943925234","66","1.1636","0.0009906542056074767"
"20.560747663551403","67","1.1527","0.0009439252336448597"
"21.02803738317757","69","1.1565","0.000897196261682243"
"21.49532710280374","70","1.1036","0.0008504672897196262"
"21.962616822429908","71","1.1227","0.0008037383177570093"
"22.429906542056074","73","1.0875","0.0007570093457943925"
"22.897196261682243","74","1.0769","0.0007102803738317757"
"23.364485981308412","76","1.0419","0.0006635514018691589"
"23.83177570093458","77","1.044","0.0006168224299065421"
"24.299065420560748","79","1.0139","0.0005700934579439252"
"24.766355140186917","80","0.9951","0.0005233644859813084"
"25.233644859813083","82","0.9646","0.0004766355140186916"
"25.700934579439252","83","0.9476","0.00042990654205607475"
"26.16822429906542","85","0.9389","0.0003831775700934579"
"26.635514018691588","86","0.9143","0.0003364485981308411"
"27.102803738317757","88","0.874","0.0002897196261682243"
"27.570093457943926","89","0.8551","0.00024299065420560747"
"28.037383177570092","91","0.8453","0.00019626168224299063"
"28.50467289719626","92","0.7978","0.00014953271028037384"
"28.97196261682243","93","0.7921","0.000102803738317757"
"29.439252336448597","95","0.7426","0.00005607476635514019"
"29.906542056074766","96","0.7403","0.000009345794392523365"
